Rank,Player,Nationality,Metric,Stat
1,Pierre-Emerick Aubameyang,Gabon,Appearances,36
2,Alex Iwobi,Nigeria,Appearances,35
2,Alexandre Lacazette,France,Appearances,35
4,Lucas Torreira,Uruguay,Appearances,34
5,Matteo Guendouzi,France,Appearances,33
6,Bernd Leno,Germany,Appearances,32
7,Shkodran Mustafi,Germany,Appearances,31
8,Granit Xhaka,Switzerland,Appearances,29
9,Aaron Ramsey,Wales,Appearances,28
10,Henrikh Mkhitaryan,Armenia,Appearances,25
10,Sokratis,Greece,Appearances,25
12,Mesut Özil,Germany,Appearances,24
12,Sead Kolasinac,Bosnia And Herzegovina,Appearances,24
14,Nacho Monreal,Spain,Appearances,22
15,Héctor Bellerín,Spain,Appearances,19
16,Laurent Koscielny,France,Appearances,17
17,Ainsley Maitland-Niles,England,Appearances,16
18,Stephan Lichtsteiner,Switzerland,Appearances,14
19,Rob Holding,England,Appearances,10
20,Danny Welbeck,England,Appearances,8
20,Mohamed Elneny,Egypt,Appearances,8
22,Petr Cech,Czech Republic,Appearances,7
23,Eddie Nketiah,England,Appearances,5
24,Denis Suárez,Spain,Appearances,4
24,Konstantinos Mavropanos,Greece,Appearances,4
26,Carl Jenkinson,England,Appearances,3
27,Joe Willock,England,Appearances,2
28,Bukayo Saka,England,Appearances,1
1,Alexandre Lacazette,France,Assists,8
2,Aaron Ramsey,Wales,Assists,6
2,Alex Iwobi,Nigeria,Assists,6
4,Héctor Bellerín,Spain,Assists,5
4,Pierre-Emerick Aubameyang,Gabon,Assists,5
4,Sead Kolasinac,Bosnia And Herzegovina,Assists,5
7,Henrikh Mkhitaryan,Armenia,Assists,4
8,Nacho Monreal,Spain,Assists,3
9,Granit Xhaka,Switzerland,Assists,2
9,Lucas Torreira,Uruguay,Assists,2
9,Mesut Özil,Germany,Assists,2
9,Sokratis,Greece,Assists,2
13,Ainsley Maitland-Niles,England,Assists,1
13,Danny Welbeck,England,Assists,1
14,Bernd Leno,Germany,Assists,0
14,Bukayo Saka,England,Assists,0
14,Carl Jenkinson,England,Assists,0
14,Denis Suárez,Spain,Assists,0
14,Eddie Nketiah,England,Assists,0
14,Joe Willock,England,Assists,0
14,Konstantinos Mavropanos,Greece,Assists,0
14,Laurent Koscielny,France,Assists,0
14,Matteo Guendouzi,France,Assists,0
14,Mohamed Elneny,Egypt,Assists,0
14,Petr Cech,Czech Republic,Assists,0
14,Rob Holding,England,Assists,0
14,Shkodran Mustafi,Germany,Assists,0
14,Stephan Lichtsteiner,Switzerland,Assists,0
1,Pierre-Emerick Aubameyang,Gabon,Big Chances Missed,23
2,Alexandre Lacazette,France,Big Chances Missed,13
3,Henrikh Mkhitaryan,Armenia,Big Chances Missed,4
4,Alex Iwobi,Nigeria,Big Chances Missed,3
5,Aaron Ramsey,Wales,Big Chances Missed,2
6,Granit Xhaka,Switzerland,Big Chances Missed,1
6,Laurent Koscielny,France,Big Chances Missed,1
6,Mesut Özil,Germany,Big Chances Missed,1
6,Nacho Monreal,Spain,Big Chances Missed,1
6,Shkodran Mustafi,Germany,Big Chances Missed,1
7,Ainsley Maitland-Niles,England,Big Chances Missed,0
7,Bernd Leno,Germany,Big Chances Missed,0
7,Bukayo Saka,England,Big Chances Missed,0
7,Carl Jenkinson,England,Big Chances Missed,0
7,Danny Welbeck,England,Big Chances Missed,0
7,Denis Suárez,Spain,Big Chances Missed,0
7,Eddie Nketiah,England,Big Chances Missed,0
7,Héctor Bellerín,Spain,Big Chances Missed,0
7,Joe Willock,England,Big Chances Missed,0
7,Konstantinos Mavropanos,Greece,Big Chances Missed,0
7,Lucas Torreira,Uruguay,Big Chances Missed,0
7,Matteo Guendouzi,France,Big Chances Missed,0
7,Mohamed Elneny,Egypt,Big Chances Missed,0
7,Petr Cech,Czech Republic,Big Chances Missed,0
7,Rob Holding,England,Big Chances Missed,0
7,Sead Kolasinac,Bosnia And Herzegovina,Big Chances Missed,0
7,Sokratis,Greece,Big Chances Missed,0
7,Stephan Lichtsteiner,Switzerland,Big Chances Missed,0
1,Shkodran Mustafi,Germany,Clearances,161
2,Sokratis,Greece,Clearances,108
3,Laurent Koscielny,France,Clearances,70
4,Granit Xhaka,Switzerland,Clearances,54
4,Nacho Monreal,Spain,Clearances,54
6,Rob Holding,England,Clearances,37
7,Héctor Bellerín,Spain,Clearances,33
8,Bernd Leno,Germany,Clearances,32
9,Lucas Torreira,Uruguay,Clearances,31
10,Alexandre Lacazette,France,Clearances,29
11,Sead Kolasinac,Bosnia And Herzegovina,Clearances,25
12,Matteo Guendouzi,France,Clearances,24
13,Stephan Lichtsteiner,Switzerland,Clearances,23
14,Pierre-Emerick Aubameyang,Gabon,Clearances,18
15,Ainsley Maitland-Niles,England,Clearances,11
15,Henrikh Mkhitaryan,Armenia,Clearances,11
17,Alex Iwobi,Nigeria,Clearances,10
18,Mohamed Elneny,Egypt,Clearances,8
19,Petr Cech,Czech Republic,Clearances,7
20,Konstantinos Mavropanos,Greece,Clearances,5
21,Mesut Özil,Germany,Clearances,4
22,Aaron Ramsey,Wales,Clearances,3
23,Carl Jenkinson,England,Clearances,2
24,Danny Welbeck,England,Clearances,1
24,Eddie Nketiah,England,Clearances,1
25,Bukayo Saka,England,Clearances,0
25,Denis Suárez,Spain,Clearances,0
25,Joe Willock,England,Clearances,0
1,Ainsley Maitland-Niles,England,Clearances Off Line,1
1,Nacho Monreal,Spain,Clearances Off Line,1
1,Shkodran Mustafi,Germany,Clearances Off Line,1
2,Aaron Ramsey,Wales,Clearances Off Line,0
2,Alex Iwobi,Nigeria,Clearances Off Line,0
2,Alexandre Lacazette,France,Clearances Off Line,0
2,Bernd Leno,Germany,Clearances Off Line,0
2,Bukayo Saka,England,Clearances Off Line,0
2,Carl Jenkinson,England,Clearances Off Line,0
2,Danny Welbeck,England,Clearances Off Line,0
2,Denis Suárez,Spain,Clearances Off Line,0
2,Eddie Nketiah,England,Clearances Off Line,0
2,Granit Xhaka,Switzerland,Clearances Off Line,0
2,Héctor Bellerín,Spain,Clearances Off Line,0
2,Henrikh Mkhitaryan,Armenia,Clearances Off Line,0
2,Joe Willock,England,Clearances Off Line,0
2,Konstantinos Mavropanos,Greece,Clearances Off Line,0
2,Laurent Koscielny,France,Clearances Off Line,0
2,Lucas Torreira,Uruguay,Clearances Off Line,0
2,Matteo Guendouzi,France,Clearances Off Line,0
2,Mesut Özil,Germany,Clearances Off Line,0
2,Mohamed Elneny,Egypt,Clearances Off Line,0
2,Petr Cech,Czech Republic,Clearances Off Line,0
2,Pierre-Emerick Aubameyang,Gabon,Clearances Off Line,0
2,Rob Holding,England,Clearances Off Line,0
2,Sead Kolasinac,Bosnia And Herzegovina,Clearances Off Line,0
2,Sokratis,Greece,Clearances Off Line,0
2,Stephan Lichtsteiner,Switzerland,Clearances Off Line,0
1,Alexandre Lacazette,France,Dispossessed,61
2,Alex Iwobi,Nigeria,Dispossessed,56
3,Mesut Özil,Germany,Dispossessed,34
4,Pierre-Emerick Aubameyang,Gabon,Dispossessed,33
5,Matteo Guendouzi,France,Dispossessed,31
6,Lucas Torreira,Uruguay,Dispossessed,28
7,Aaron Ramsey,Wales,Dispossessed,27
8,Henrikh Mkhitaryan,Armenia,Dispossessed,25
9,Ainsley Maitland-Niles,England,Dispossessed,17
9,Granit Xhaka,Switzerland,Dispossessed,17
9,Sead Kolasinac,Bosnia And Herzegovina,Dispossessed,17
12,Héctor Bellerín,Spain,Dispossessed,15
13,Stephan Lichtsteiner,Switzerland,Dispossessed,13
14,Shkodran Mustafi,Germany,Dispossessed,6
15,Sokratis,Greece,Dispossessed,5
16,Carl Jenkinson,England,Dispossessed,3
16,Danny Welbeck,England,Dispossessed,3
16,Eddie Nketiah,England,Dispossessed,3
16,Laurent Koscielny,France,Dispossessed,3
16,Mohamed Elneny,Egypt,Dispossessed,3
16,Nacho Monreal,Spain,Dispossessed,3
22,Joe Willock,England,Dispossessed,2
22,Rob Holding,England,Dispossessed,2
24,Bernd Leno,Germany,Dispossessed,1
24,Denis Suárez,Spain,Dispossessed,1
25,Bukayo Saka,England,Dispossessed,0
25,Konstantinos Mavropanos,Greece,Dispossessed,0
25,Petr Cech,Czech Republic,Dispossessed,0
1,Alexandre Lacazette,France,Fouls,51
2,Granit Xhaka,Switzerland,Fouls,45
3,Shkodran Mustafi,Germany,Fouls,42
4,Lucas Torreira,Uruguay,Fouls,38
